Peak Number,Energy (eV),electron number, atom,ELECTRON
145,0.4527142, 9.32269,145, beryllium ionization 1, ELECTRON
146,1.0928869, 5.39171,146, lithium ionization 1, ELECTRON
147,1.0913002, 5.39171,147, lithium ionization 1, ELECTRON
149,1.0893758, 5.39171,148, lithium ionization 1, ELECTRON
150,1.0905402, 5.39171,149, lithium ionization 1, ELECTRON
151,4.3769653, 5.39171,150, lithium ionization 1, ELECTRON
151,0.4459853, 9.32269,151, beryllium ionization 1, ELECTRON
152,1.0867402, 5.39171,152, lithium ionization 1, ELECTRON
153,1.0879669, 5.39171,153, lithium ionization 1, ELECTRON
155,1.0841535, 5.39171,154, lithium ionization 1, ELECTRON
156,4.3753209, 5.39171,155, lithium ionization 1, ELECTRON
156,0.4443409, 9.32269,156, beryllium ionization 1, ELECTRON
157,4.3724409, 5.39171,157, lithium ionization 1, ELECTRON
157,0.4414609, 9.32269,158, beryllium ionization 1, ELECTRON
158,4.3686986, 5.39171,159, lithium ionization 1, ELECTRON
158,0.4377186, 9.32269,160, beryllium ionization 1, ELECTRON
159,1.0781713, 5.39171,161, lithium ionization 1, ELECTRON
161,1.0776558, 5.39171,162, lithium ionization 1, ELECTRON
162,1.0755935, 5.39171,163, lithium ionization 1, ELECTRON
164,1.0747091, 5.39171,164, lithium ionization 1, ELECTRON
165,1.0726158, 5.39171,165, lithium ionization 1, ELECTRON
166,1.0886424, 5.39171,166, lithium ionization 1, ELECTRON
168,4.3765786, 5.39171,167, lithium ionization 1, ELECTRON
168,0.4455986, 9.32269,168, beryllium ionization 1, ELECTRON
172,1.0861891, 5.39171,169, lithium ionization 1, ELECTRON
173,1.0888646, 5.39171,170, lithium ionization 1, ELECTRON
174,1.0877846, 5.39171,171, lithium ionization 1, ELECTRON
175,4.3776231, 5.39171,172, lithium ionization 1, ELECTRON
175,0.4466431, 9.32269,173, beryllium ionization 1, ELECTRON
176,4.3754542, 5.39171,174, lithium ionization 1, ELECTRON
176,0.4444742, 9.32269,175, beryllium ionization 1, ELECTRON
178,4.3795831, 5.39171,176, lithium ionization 1, ELECTRON
178,0.4486031, 9.32269,177, beryllium ionization 1, ELECTRON
180,4.3837564, 5.39171,178, lithium ionization 1, ELECTRON
180,0.4527764, 9.32269,179, beryllium ionization 1, ELECTRON
182,4.3836142, 5.39171,180, lithium ionization 1, ELECTRON
182,0.4526342, 9.32269,181, beryllium ionization 1, ELECTRON
184,4.3809831, 5.39171,182, lithium ionization 1, ELECTRON
184,0.4500031, 9.32269,183, beryllium ionization 1, ELECTRON
185,4.3832186, 5.39171,184, lithium ionization 1, ELECTRON
185,0.4522386, 9.32269,185, beryllium ionization 1, ELECTRON
186,1.0916069, 5.39171,186, lithium ionization 1, ELECTRON
188,4.3858097, 5.39171,187, lithium ionization 1, ELECTRON
188,0.4548297, 9.32269,188, beryllium ionization 1, ELECTRON
189,4.3862186, 5.39171,189, lithium ionization 1, ELECTRON
189,0.4552386, 9.32269,190, beryllium ionization 1, ELECTRON
190,4.3855475, 5.39171,191, lithium ionization 1, ELECTRON
190,0.4545675, 9.32269,192, beryllium ionization 1, ELECTRON
191,1.0918024, 5.39171,193, lithium ionization 1, ELECTRON
192,4.3810942, 5.39171,194, lithium ionization 1, ELECTRON
192,0.4501142, 9.32269,195, beryllium ionization 1, ELECTRON
193,1.0903358, 5.39171,196, lithium ionization 1, ELECTRON
194,4.3832853, 5.39171,197, lithium ionization 1, ELECTRON
194,0.4523053, 9.32269,198, beryllium ionization 1, ELECTRON
195,4.3793297, 5.39171,199, lithium ionization 1, ELECTRON
195,0.4483497, 9.32269,200, beryllium ionization 1, ELECTRON
196,4.3802764, 5.39171,201, lithium ionization 1, ELECTRON
196,0.4492964, 9.32269,202, beryllium ionization 1, ELECTRON
197,4.3783475, 5.39171,203, lithium ionization 1, ELECTRON
197,0.4473675, 9.32269,204, beryllium ionization 1, ELECTRON
198,1.0856558, 5.39171,205, lithium ionization 1, ELECTRON
199,1.0805180, 5.39171,206, lithium ionization 1, ELECTRON
200,4.3720897, 5.39171,207, lithium ionization 1, ELECTRON
200,0.4411097, 9.32269,208, beryllium ionization 1, ELECTRON
201,4.3723875, 5.39171,209, lithium ionization 1, ELECTRON
201,0.4414075, 9.32269,210, beryllium ionization 1, ELECTRON
202,1.0824247, 5.39171,211, lithium ionization 1, ELECTRON
204,4.3731475, 5.39171,212, lithium ionization 1, ELECTRON
204,0.4421675, 9.32269,213, beryllium ionization 1, ELECTRON
206,4.3744231, 5.39171,214, lithium ionization 1, ELECTRON
206,0.4434431, 9.32269,215, beryllium ionization 1, ELECTRON
207,4.3741520, 5.39171,216, lithium ionization 1, ELECTRON
207,0.4431720, 9.32269,217, beryllium ionization 1, ELECTRON
208,1.0911358, 5.39171,218, lithium ionization 1, ELECTRON
209,1.0886958, 5.39171,219, lithium ionization 1, ELECTRON
210,1.0825357, 5.39171,220, lithium ionization 1, ELECTRON
211,1.0827269, 5.39171,221, lithium ionization 1, ELECTRON
212,4.3743120, 5.39171,222, lithium ionization 1, ELECTRON
212,0.4433320, 9.32269,223, beryllium ionization 1, ELECTRON
213,4.3726142, 5.39171,224, lithium ionization 1, ELECTRON
213,0.4416342, 9.32269,225, beryllium ionization 1, ELECTRON
214,1.0822824, 5.39171,226, lithium ionization 1, ELECTRON
216,4.3785075, 5.39171,227, lithium ionization 1, ELECTRON
216,0.4475275, 9.32269,228, beryllium ionization 1, ELECTRON
217,4.3757120, 5.39171,229, lithium ionization 1, ELECTRON
217,0.4447320, 9.32269,230, beryllium ionization 1, ELECTRON
218,1.0836513, 5.39171,231, lithium ionization 1, ELECTRON
219,1.0816602, 5.39171,232, lithium ionization 1, ELECTRON
220,1.0815669, 5.39171,233, lithium ionization 1, ELECTRON
221,1.0801669, 5.39171,234, lithium ionization 1, ELECTRON
224,4.3659208, 5.39171,235, lithium ionization 1, ELECTRON
224,0.4349408, 9.32269,236, beryllium ionization 1, ELECTRON
225,4.3649342, 5.39171,237, lithium ionization 1, ELECTRON
225,0.4339542, 9.32269,238, beryllium ionization 1, ELECTRON
226,1.0761402, 5.39171,239, lithium ionization 1, ELECTRON
229,4.3681742, 5.39171,240, lithium ionization 1, ELECTRON
229,0.4371942, 9.32269,241, beryllium ionization 1, ELECTRON
230,4.3481742, 5.39171,242, lithium ionization 1, ELECTRON
230,0.4171942, 9.32269,243, beryllium ionization 1, ELECTRON
231,4.3355297, 5.39171,244, lithium ionization 1, ELECTRON
231,0.4045497, 9.32269,245, beryllium ionization 1, ELECTRON
233,4.3408231, 5.39171,246, lithium ionization 1, ELECTRON
233,0.4098431, 9.32269,247, beryllium ionization 1, ELECTRON
234,4.3413608, 5.39171,248, lithium ionization 1, ELECTRON
234,0.4103808, 9.32269,249, beryllium ionization 1, ELECTRON
235,1.0503758, 5.39171,250, lithium ionization 1, ELECTRON
236,1.0510913, 5.39171,251, lithium ionization 1, ELECTRON
240,1.0412113, 5.39171,252, lithium ionization 1, ELECTRON
241,1.0405002, 5.39171,253, lithium ionization 1, ELECTRON
242,4.3279920, 5.39171,254, lithium ionization 1, ELECTRON
242,0.3970120, 9.32269,255, beryllium ionization 1, ELECTRON
243,4.3258409, 5.39171,256, lithium ionization 1, ELECTRON
243,0.3948609, 9.32269,257, beryllium ionization 1, ELECTRON
244,4.3275386, 5.39171,258, lithium ionization 1, ELECTRON
244,0.3965586, 9.32269,259, beryllium ionization 1, ELECTRON
245,4.3260986, 5.39171,260, lithium ionization 1, ELECTRON
245,0.3951186, 9.32269,261, beryllium ionization 1, ELECTRON
247,4.3258142, 5.39171,262, lithium ionization 1, ELECTRON
247,0.3948342, 9.32269,263, beryllium ionization 1, ELECTRON
249,4.3248231, 5.39171,264, lithium ionization 1, ELECTRON
249,0.3938431, 9.32269,265, beryllium ionization 1, ELECTRON
250,1.0326380, 5.39171,266, lithium ionization 1, ELECTRON
252,4.3318809, 5.39171,267, lithium ionization 1, ELECTRON
252,0.4009009, 9.32269,268, beryllium ionization 1, ELECTRON
253,1.0441535, 5.39171,269, lithium ionization 1, ELECTRON
255,1.0437002, 5.39171,270, lithium ionization 1, ELECTRON
256,4.3325342, 5.39171,271, lithium ionization 1, ELECTRON
256,0.4015542, 9.32269,272, beryllium ionization 1, ELECTRON
257,4.3319431, 5.39171,273, lithium ionization 1, ELECTRON
257,0.4009631, 9.32269,274, beryllium ionization 1, ELECTRON
258,4.3333520, 5.39171,275, lithium ionization 1, ELECTRON
258,0.4023720, 9.32269,276, beryllium ionization 1, ELECTRON
261,1.0394380, 5.39171,277, lithium ionization 1, ELECTRON
262,1.0353002, 5.39171,278, lithium ionization 1, ELECTRON
263,1.0335847, 5.39171,279, lithium ionization 1, ELECTRON
264,1.0304824, 5.39171,280, lithium ionization 1, ELECTRON
265,1.0310557, 5.39171,281, lithium ionization 1, ELECTRON
266,1.0207847, 5.39171,282, lithium ionization 1, ELECTRON
267,4.3129253, 5.39171,283, lithium ionization 1, ELECTRON
267,0.3819453, 9.32269,284, beryllium ionization 1, ELECTRON
269,4.3017920, 5.39171,285, lithium ionization 1, ELECTRON
269,0.3708120, 9.32269,286, beryllium ionization 1, ELECTRON
270,1.0100780, 5.39171,287, lithium ionization 1, ELECTRON
271,4.2950453, 5.39171,288, lithium ionization 1, ELECTRON
271,0.3640653, 9.32269,289, beryllium ionization 1, ELECTRON
273,4.2898364, 5.39171,290, lithium ionization 1, ELECTRON
273,0.3588564, 9.32269,291, beryllium ionization 1, ELECTRON
275,4.2970542, 5.39171,292, lithium ionization 1, ELECTRON
275,0.3660742, 9.32269,293, beryllium ionization 1, ELECTRON
276,1.0044158, 5.39171,294, lithium ionization 1, ELECTRON
277,0.9991135, 5.39171,295, lithium ionization 1, ELECTRON
278,4.2844720, 5.39171,296, lithium ionization 1, ELECTRON
278,0.3534920, 9.32269,297, beryllium ionization 1, ELECTRON
279,0.9896558, 5.39171,298, lithium ionization 1, ELECTRON
280,4.2728942, 5.39171,299, lithium ionization 1, ELECTRON
280,0.3419142, 9.32269,300, beryllium ionization 1, ELECTRON
281,4.2626364, 5.39171,301, lithium ionization 1, ELECTRON
281,0.3316564, 9.32269,302, beryllium ionization 1, ELECTRON
284,0.9570691, 5.39171,303, lithium ionization 1, ELECTRON
285,0.9512647, 5.39171,304, lithium ionization 1, ELECTRON
286,4.2509209, 5.39171,305, lithium ionization 1, ELECTRON
286,0.3199409, 9.32269,306, beryllium ionization 1, ELECTRON
288,0.9634513, 5.39171,307, lithium ionization 1, ELECTRON
289,4.2381653, 5.39171,308, lithium ionization 1, ELECTRON
289,0.3071853, 9.32269,309, beryllium ionization 1, ELECTRON
291,0.9360291, 5.39171,310, lithium ionization 1, ELECTRON
292,4.2303342, 5.39171,311, lithium ionization 1, ELECTRON
292,0.2993542, 9.32269,312, beryllium ionization 1, ELECTRON
293,4.2333564, 5.39171,313, lithium ionization 1, ELECTRON
293,0.3023764, 9.32269,314, beryllium ionization 1, ELECTRON
295,4.2231475, 5.39171,315, lithium ionization 1, ELECTRON
295,0.2921675, 9.32269,316, beryllium ionization 1, ELECTRON
296,4.1965608, 5.39171,317, lithium ionization 1, ELECTRON
296,0.2655808, 9.32269,318, beryllium ionization 1, ELECTRON
297,0.9011980, 5.39171,319, lithium ionization 1, ELECTRON
298,0.8436735, 5.39171,320, lithium ionization 1, ELECTRON
299,4.0871164, 5.39171,321, lithium ionization 1, ELECTRON
299,0.1561364, 9.32269,322, beryllium ionization 1, ELECTRON
300,0.8638069, 5.39171,323, lithium ionization 1, ELECTRON
301,0.8574691, 5.39171,324, lithium ionization 1, ELECTRON
303,0.8475491, 5.39171,325, lithium ionization 1, ELECTRON
304,4.1371964, 5.39171,326, lithium ionization 1, ELECTRON
304,0.2062164, 9.32269,327, beryllium ionization 1, ELECTRON
306,4.1240320, 5.39171,328, lithium ionization 1, ELECTRON
306,0.1930520, 9.32269,329, beryllium ionization 1, ELECTRON
309,4.0736231, 5.39171,330, lithium ionization 1, ELECTRON
309,0.1426431, 9.32269,331, beryllium ionization 1, ELECTRON
310,0.7906024, 5.39171,332, lithium ionization 1, ELECTRON
311,0.7898958, 5.39171,333, lithium ionization 1, ELECTRON
312,0.8197669, 5.39171,334, lithium ionization 1, ELECTRON
315,4.1795875, 5.39171,335, lithium ionization 1, ELECTRON
315,0.2486075, 9.32269,336, beryllium ionization 1, ELECTRON
316,0.8934558, 5.39171,337, lithium ionization 1, ELECTRON
317,0.8598424, 5.39171,338, lithium ionization 1, ELECTRON
318,4.1500275, 5.39171,339, lithium ionization 1, ELECTRON
318,0.2190475, 9.32269,340, beryllium ionization 1, ELECTRON
320,0.8683224, 5.39171,341, lithium ionization 1, ELECTRON
321,0.8776824, 5.39171,342, lithium ionization 1, ELECTRON
322,0.9201180, 5.39171,343, lithium ionization 1, ELECTRON
323,4.1945520, 5.39171,344, lithium ionization 1, ELECTRON
323,0.2635720, 9.32269,345, beryllium ionization 1, ELECTRON
325,4.2322320, 5.39171,346, lithium ionization 1, ELECTRON
325,0.3012520, 9.32269,347, beryllium ionization 1, ELECTRON
326,0.9473980, 5.39171,348, lithium ionization 1, ELECTRON
328,0.9991402, 5.39171,349, lithium ionization 1, ELECTRON
329,4.3208231, 5.39171,350, lithium ionization 1, ELECTRON
329,0.3898431, 9.32269,351, beryllium ionization 1, ELECTRON
330,4.2913031, 5.39171,352, lithium ionization 1, ELECTRON
330,0.3603231, 9.32269,353, beryllium ionization 1, ELECTRON
331,4.2913520, 5.39171,354, lithium ionization 1, ELECTRON
331,0.3603720, 9.32269,355, beryllium ionization 1, ELECTRON
332,4.2883475, 5.39171,356, lithium ionization 1, ELECTRON
332,0.3573675, 9.32269,357, beryllium ionization 1, ELECTRON
333,0.9658957, 5.39171,358, lithium ionization 1, ELECTRON
335,0.9556024, 5.39171,359, lithium ionization 1, ELECTRON
338,4.2484764, 5.39171,360, lithium ionization 1, ELECTRON
338,0.3174964, 9.32269,361, beryllium ionization 1, ELECTRON
339,0.9763135, 5.39171,362, lithium ionization 1, ELECTRON
340,4.2793786, 5.39171,363, lithium ionization 1, ELECTRON
340,0.3483986, 9.32269,364, beryllium ionization 1, ELECTRON
341,4.2680275, 5.39171,365, lithium ionization 1, ELECTRON
341,0.3370475, 9.32269,366, beryllium ionization 1, ELECTRON
342,4.2519253, 5.39171,367, lithium ionization 1, ELECTRON
342,0.3209453, 9.32269,368, beryllium ionization 1, ELECTRON
344,0.9464113, 5.39171,369, lithium ionization 1, ELECTRON
345,0.9356735, 5.39171,370, lithium ionization 1, ELECTRON
346,4.1920542, 5.39171,371, lithium ionization 1, ELECTRON
346,0.2610742, 9.32269,372, beryllium ionization 1, ELECTRON
347,4.1658586, 5.39171,373, lithium ionization 1, ELECTRON
347,0.2348786, 9.32269,374, beryllium ionization 1, ELECTRON
