Peak Number,Amplitude,Period (ns),Frequency (Hz),Energy (eV), Photons Flux in J/s
111,82,0.0006000063158559527,9999894736842.168,1.0805358,1.6924892149565171e+22
112,63,0.00040000421057063973,14999842105263.078,0.4415675,6.660211872062755e+21
113,55,0.0006000063158559527,9999894736842.168,1.0827935,7.614187797804081e+21
114,65,0.00040000421057063973,14999842105263.078,0.4439320,7.089794698781844e+21
115,70,0.0006000063158559527,9999894736842.168,1.0894469,1.2333725689004958e+22
116,58,0.0006000063158559665,9999894736841.936,1.0870913,8.467480248533396e+21
117,63,0.0006000063158559527,9999894736842.168,1.0872513,9.990317808094015e+21
118,58,0.0010000105264265924,5999936842105.272,1.0872513,1.411246708088873e+22
119,53,0.0010000105264265924,5999936842105.272,1.0872513,1.178416172122962e+22
120,81,0.00040000421057063973,14999842105263.078,0.4591142,1.1009737992593532e+22
121,56,0.0006000063158559527,9999894736842.168,1.0991935,7.893584440963173e+21
122,64,0.0008000084211412795,7499921052631.539,1.0991935,1.3746650455010854e+22
123,75,0.0006000063158559527,9999894736842.168,1.1034558,1.415861367360263e+22
124,54,0.0006000063158559527,9999894736842.168,1.1056158,7.339825328395603e+21
125,66,0.0006000063158559665,9999894736841.936,1.1064735,1.096443042883813e+22
126,77,0.0008000084211412656,7499921052631.669,1.1064735,1.9898410778261218e+22
127,62,0.0006000063158559665,9999894736841.936,1.1066869,9.675681948680847e+21
128,58,0.0006000063158559527,9999894736842.168,1.1080469,8.4674802485332e+21
129,58,0.0008000084211412795,7499921052631.539,1.1080469,1.1289973664711063e+22
130,75,0.00040000421057063973,14999842105263.078,0.4643409,9.439075782401862e+21
131,59,0.0008000084211412656,7499921052631.669,0.4643409,1.168263921725878e+22
132,67,0.00040000421057063973,14999842105263.078,0.4588520,7.532801988835904e+21
133,52,0.00040000421057063973,14999842105263.078,0.4594964,4.53746860722038e+21
134,63,0.0010000105264265924,5999936842105.272,0.4594964,1.6650529680156768e+22
135,57,0.00040000421057063973,14999842105263.078,0.4538964,5.452010171915315e+21
136,64,0.00040000421057063973,14999842105263.078,0.4573809,6.873325227505427e+21
137,56,0.00040000421057063973,14999842105263.078,0.4553142,5.262389627308842e+21
138,62,0.0008000084211412656,7499921052631.669,0.4553142,1.2900909264907425e+22
139,52,0.0006000063158559527,9999894736842.168,1.0903269,6.806202910830491e+21
140,70,0.0008000084211412795,7499921052631.539,1.0903269,1.6444967585340134e+22
141,64,0.0008000084211412795,7499921052631.539,1.0903269,1.3746650455010854e+22
142,58,0.0008000084211412795,7499921052631.539,1.0903269,1.1289973664711063e+22
143,55,0.0008000084211412656,7499921052631.669,1.0903269,1.015225039707205e+22
144,59,0.0006000063158559527,9999894736842.168,1.0909446,8.761979412944134e+21
